date,meantemp,humidity,wind_speed,meanpressure,month,season,anomaly
2013-01-02,7.4,92.0,2.98,1017.8,1,1,1
2013-01-03,7.166666666666667,87.0,4.633333333333334,1018.6666666666666,1,1,1
2013-03-01,17.333333333333332,49.333333333333336,24.066666666666663,1016.3333333333334,3,2,1
2013-09-09,31.0,57.5,42.22,1007.0,9,4,1
2013-11-08,18.0,82.2,19.9125,1015.625,11,4,1
2013-12-25,13.666666666666666,63.16666666666666,34.4875,1020.625,12,1,1
2014-01-06,11.428571428571429,86.28571428571429,27.3375,1017.625,1,1,1
2014-01-07,12.142857142857142,72.28571428571429,20.6,1017.75,1,1,1
2014-06-20,38.0,36.125,17.825,991.375,6,3,1
2014-09-23,31.0,47.0,30.685714285714283,1004.2857142857144,9,4,1
2014-10-17,25.0,47.66666666666666,25.0125,1013.625,10,4,1
2014-12-01,20.0,42.625,8.799999999999999,1013.75,12,1,1
2014-12-19,11.75,81.75,0.4625,1022.125,12,1,1
2014-12-24,9.875,83.0,3.4750000000000005,1021.25,12,1,1
2014-12-25,9.25,81.125,8.100000000000001,1020.125,12,1,1
2014-12-28,9.0,86.0,0.7,1019.75,12,1,1
2015-01-28,11.714285714285714,67.0,27.775,1018.25,1,1,1
2015-01-30,12.75,56.125,12.0375,1020.375,1,1,1
2015-02-26,20.0,34.375,6.7125,1009.875,2,1,1
2015-06-09,37.625,23.875,18.75,998.875,6,3,1
2015-12-22,12.0,79.875,0.7,1020.875,12,1,1
2016-03-28,25.933333333333334,52.8,6.546666666666667,7679.333333333333,3,2,1
2016-08-16,31.33333333333333,66.41666666666667,14.66666666666667,-3.0416666666666665,8,3,1
2016-11-17,21.73076923076923,51.73076923076923,11.55,1350.2962962962963,11,4,1
2016-11-25,23.6,30.55,15.085000000000004,1012.95,11,4,1
2016-11-26,24.294117647058822,32.64705882352941,14.494117647058824,1013.25,11,4,1
2016-11-28,22.454545454545453,37.31818181818182,9.185714285714289,12.045454545454543,11,4,1
2016-12-20,19.8,48.53333333333333,15.926666666666671,1015.2,12,1,1
2016-12-21,18.05,54.3,19.40476190476191,1015.6190476190476,12,1,1
2017-01-01,10.0,100.0,0.0,1016.0,1,1,1
